outcome,effect,n,r_squared,sum_sq,df,F,p_value,eta_sq_total
CASE TIME (Cath In-Out),C(PHYSICIAN),122,0.2588,2442.3643,2.0,9.636,0.000133,0.1348
CASE TIME (Cath In-Out),"Q(""#ABL"")",122,0.2588,723.6433,1.0,5.7101,0.018452,0.0399
SKIN-SKIN (Access to Cath-Out),C(PHYSICIAN),122,0.2456,2559.8768,2.0,10.1464,8.6e-05,0.1429
SKIN-SKIN (Access to Cath-Out),"Q(""#ABL"")",122,0.2456,469.7164,1.0,3.7236,0.056051,0.0262
PT PREP/INTUBATION Pt-In-Access,C(PHYSICIAN),122,0.152,468.9694,2.0,10.3644,7.1e-05,0.1475
PT PREP/INTUBATION Pt-In-Access,"Q(""#ABL"")",122,0.152,41.1364,1.0,1.8183,0.180104,0.0129
ACCESSS (Min),C(PHYSICIAN),122,0.0216,12.7282,2.0,1.1809,0.310619,0.0195
ACCESSS (Min),"Q(""#ABL"")",122,0.0216,3.7654,1.0,0.6987,0.40492,0.0058
TSP (Min),C(PHYSICIAN),122,0.0762,175.1025,2.0,4.7332,0.010536,0.0739
TSP (Min),"Q(""#ABL"")",122,0.0762,12.601,1.0,0.6812,0.410827,0.0053
PRE-MAP (Min),C(PHYSICIAN),122,0.0958,181.0849,2.0,5.2763,0.006386,0.0778
PRE-MAP (Min),"Q(""#ABL"")",122,0.0958,121.6517,1.0,7.0892,0.008837,0.0523
ABL DURATION (Abl Start-End),C(PHYSICIAN),122,0.3282,428.7454,2.0,7.334,0.000995,0.0955
ABL DURATION (Abl Start-End),"Q(""#ABL"")",122,0.3282,609.4467,1.0,20.85,1.2e-05,0.1358
POST CARE/EXTUBATION (Cath-Out to Pt-Out),C(PHYSICIAN),121,0.1342,220.9858,2.0,8.9257,0.000247,0.1276
POST CARE/EXTUBATION (Cath-Out to Pt-Out),"Q(""#ABL"")",121,0.1342,62.859,1.0,5.0778,0.026097,0.0363
